A,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,MANUAL-ADD,MANUAL-ADD,MANUAL-ADD,MANUAL-ADD
B,DN_02_NA,DN_02_PA,DN_02_PU,DN_02_PU,DN_02_SA,DN_02_SU,DN_02_SU,DN_03_NA,DN_03_PA,DN_03_PU1,DN_03_PU1,DN_03_PU2,DN_03_PU2,DN_03_SA,DN_03_SU,DN_03_SU,DN_04_NA,DN_04_PA1,DN_04_PA2,DN_05_NA,DN_06_PA,DN_07N_PA,DN_07S_PA,DN_08N_NA,DN_08N_PA,DN_08N_PR1,DN_08N_PR2,DN_08N_SA1,DN_08N_SA2,DN_08S_NA1,DN_08S_NA2,DN_08S_PA,DN_08S_PR,DN_08S_SA1,DN_08S_SA2,DN_08S_SA3,DN_09_NA,DN_09_PR,DN_09_SA1,DN_09_SA2,DN_10_NA,DN_11_NA,DN_11_NU1,DN_11_NU1,DN_11_PR,DN_11_SA1,DN_11_SA2,DN_11_SA3,DN_11_SA4,DN_12_NA,DN_12_NU1,DN_12_NU1,DN_12_SA,DN_13_NA,DN_13_NU1,DN_13_NU1,DN_13_NU2,DN_13_NU2,DN_14_NA,DN_15N_NA2,DN_15N_NU,DN_15N_NU,DN_15N_SA,DN_15S_NA2,DN_15S_SA,DN_16_NA2,DN_16_PA,DN_16_PU,DN_16_PU,DN_16_SA,DN_17N_NR,DN_17N_PR,DN_17S_NA,DN_17S_PR,DN_17S_SA,DN_18_NA,DN_18_SA,DN_19_SA,DN_20_NA1,DN_20_NA1,DN_20_NU1,DN_20_NU1,DN_20_PA,DN_21_NA,DN_21_PA,DN_21_PU,DN_21_PU,DN_21_SA,DN_22_NA,DN_22_SA1,DN_22_SA2,DN_23_NA,DN_24_NA1,DN_24_NA2,DN_24_NA3,DN_24_NU1,DN_24_NU1,DN_24_NU2,DN_24_NU2,DN_24_NU3,DN_24_NU3,DN_25_NA,DN_25_PA1,DN_25_PA1,DN_25_PA2,DN_25_PU,DN_25_PU,DN_26N_NU1,DN_26N_NU1,DN_26N_NU2,DN_26N_NU2,DN_26N_NU3,DN_26N_NU3,DN_26N_NU4,DN_26N_NU4,DN_26N_PU1,DN_26N_PU1,DN_26N_PU2,DN_26N_PU2,DN_26N_PU3,DN_26N_PU3,DN_26S_NU1,DN_26S_NU1,DN_26S_NU2,DN_26S_NU2,DN_26S_NU3,DN_26S_NU3,DN_26S_NU4,DN_26S_PU1,DN_26S_PU1,DN_26S_PU2,DN_26S_PU2,DN_26S_PU3,DN_26S_PU4,DN_26S_PU4,DN_26S_PU5,DN_26S_PU5,DN_26S_PU6,DN_26S_PU6,DN_50_PA1,DN_50_PU,DN_60N_NA1,DN_60N_NA2,DN_60N_NA3,DN_60N_NA4,DN_60N_NA5,DN_60N_NU1,DN_60N_NU2,DN_60N_PU,DN_60S_NU1,DN_60S_PA1,DN_60S_PA2,DN_61_NA2,DN_61_NA3,DN_61_NA4,DN_61_NA5,DN_61_NA6,DN_61_NU1,DN_61_NU2,DN_61_PA1,DN_61_PA2,DN_61_PA3,DN_62_NA2,DN_62_NA3,DN_ELDID_NA1,DN_ELDID_NU1,DN_ELDID_NU2,DN_ELDID_NU3,DN_GDPUD_NU,DN_PCWA3,S_FOLSMLEVEL6DV,S_MLRTNLEVEL5DV,S_OROVLLEVEL6DV,S_MELONLEVEL5DV
C,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW_DELIVERY-NET,SW_DELIVERY-NET,SW_DELIVERY-NET,SW_DELIVERY-NET,SW_DELIVERY-NET,SW_DELIVERY-NET,SW_DELIVERY-NET,SW_DELIVERY-NET,SW_DELIVERY-NET,SW-DELIVERY-NET,SW_DELIVERY-NET,SW_DELIVERY-NET,SW_DELIVERY-NET,SW_DELIVERY-NET,SW_DELIVERY-NET,SW_DELIVERY-NET,SW_DELIVERY-NET,SW_DELIVERY-NET,SW_DELIVERY-NET,SW_DELIVERY-NET,SW_DELIVERY-NET,SW_DELIVERY-NET,SW_DELIVERY-NET,SW_DELIVERY-NET,SW_DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,SW-DELIVERY-NET,STORAGE-ZONE,STORAGE-ZONE,STORAGE-ZONE,STORAGE-ZONE
D,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON,1MON
E,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A,L2020A
F,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-CUM,PER-CUM
Units,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,TAF,TAF,TAF,TAF
1921-10-31,4.645654,3.8425179,8.505779,8.505779,24.21399,10.949675,10.949675,9.636778,2.859115,4.0008063,4.0008063,8.159726,8.159726,2.9880297,7.5917745,7.5917745,2.668446,25.77669,1.449074,79.56471,64.0916,81.863754,118.82746,0.0,3.1699271,119.24374,74.13806,92.50889,159.84828,0.0,0.0,31.267782,98.64192,48.450615,129.91634,102.117714,62.5627,37.32534,16.012072,138.25215,83.98851,33.771317,2.846102,2.846102,0.0,331.807,211.53577,270.59915,92.68132,2.1167102,4.3748655,4.3748655,3.8919258,9.360648,7.172178,7.172178,0.0,0.0,33.42395,0.0,3.3665323,3.3665323,0.91836596,0.0,10.485834,22.904018,16.04942,19.629972,19.629972,20.800678,86.15046,81.54408,28.267147,28.88766,3.1442127,34.436104,32.171246,84.6408,125.42906,125.42906,23.386179,23.386179,1.1492779,0.0,10.312085,16.312231,16.312231,41.80791,0.0,86.33808,1.486156,77.943886,24.869106,0.32958958,16.352015,10.262231,10.262231,30.591532,30.591532,2.87684,2.87684,60.378162,68.85445,68.85445,10.610966,11.994943,11.994943,19.890947,19.890947,11.291056,11.291056,34.211773,34.211773,28.867607,28.867607,48.237366,48.237366,17.320566,17.320566,39.975536,39.975536,105.25699,105.25699,0.0,0.0,5.131887,5.131887,3.3990593,27.17621,27.17621,7.126872,7.126872,1.1673898,17.271774,17.271774,10.53871,10.53871,18.120726,18.120726,43.01207,30.016706,9.190485,0.0,0.0,7.827101,6.478821,3.1551077,3.1551077,22.508602,84.74879,13.884207,37.80587,188.59918,6.641617,18.197674,10.765171,22.425,69.61404,25.000557,87.65986,113.08032,166.03717,5.371751,365.09033,0.0,13.834541,11.073385,22.398438,2.3913834,28.628239,967,524,3424.8,2420
1921-11-30,0.0,0.0,4.9072223,4.9072223,0.0,6.6995993,6.6995993,0.0,0.0,2.840139,2.840139,4.642972,4.642972,0.0,4.6450553,4.6450553,0.55759424,1.3868742,0.0,0.639561,0.0,15.778952,7.392715,0.0,3.6901314,0.0,0.0,100.62251,257.9995,0.0,0.0,30.395357,0.0,52.943546,201.07346,136.38776,29.112051,0.0,9.334071,149.73494,108.08108,19.35213,1.7309722,1.7309722,0.0,412.5038,271.0581,243.21742,139.33228,0.9018787,3.0081944,3.0081944,0.0,0.0,4.2854166,4.2854166,0.0,0.0,25.693731,165.86702,2.4704165,2.4704165,0.0,90.68909,4.6426296,17.170704,0.5492506,13.864583,13.864583,11.112102,64.31406,50.717384,23.33389,5.4054103,4.2593026,32.386753,49.22747,180.7196,14.166525,14.166525,16.605234,16.605234,0.049316432,0.0,6.8147235,11.511806,11.511806,45.013676,0.0,71.31856,0.0,73.09861,1.1529336,0.0,0.0,3.7636976,3.7636976,19.602,19.602,1.8149327,1.8149327,0.0,0.0,0.0,0.0,8.427522,8.427522,13.161225,13.161225,7.134967,7.134967,25.460417,25.460417,17.864305,17.864305,29.19125,29.19125,9.965694,9.965694,24.552916,24.552916,78.3475,78.3475,0.0,0.0,3.7100482,3.7100482,4.8399997,22.418612,22.418612,5.0116568,5.0116568,1.1410972,10.990833,10.990833,6.8566666,6.8566666,14.197333,14.197333,3.339849,20.290007,0.109624594,0.0,0.0,0.23290321,0.16531119,1.9326389,1.9326389,19.561666,62.953613,0.37805778,5.4714694,6.8415,0.17488283,0.02113192,1.395749,1.9348941,47.28075,17.585352,6.6428127,9.141191,2.02138,0.28607124,15.953358,0.0,7.9909635,6.3960934,12.937552,1.5541799,23.667696,967,524,3424.8,2420
1921-12-31,0.0,0.0,3.724328,3.724328,0.0,5.535825,5.535825,0.0,0.0,2.7485216,2.7485216,3.384487,3.384487,0.0,3.838172,3.838172,0.40840667,1.015808,0.0,0.12623306,0.0,11.74957,5.284349,0.0,2.675152,0.0,0.0,64.04689,181.14519,0.0,0.0,21.421295,0.0,30.462133,137.79474,98.95936,21.100878,0.0,6.8390336,110.634285,303.37308,14.13679,1.4799731,1.4799731,0.0,302.4521,198.65063,178.31694,102.146736,0.5821015,2.2931452,2.2931452,0.0,0.0,3.6430109,3.6430109,0.0,0.0,17.931143,119.38029,2.2036963,2.2036963,0.0,65.85838,3.371476,12.528703,0.40076384,11.612097,11.612097,8.108007,43.879154,28.26887,16.985285,2.3748944,3.1004457,23.720245,36.05449,130.0757,9.987815,9.987815,13.802782,13.802782,0.034769528,0.0,4.439754,9.64422,9.64422,31.980286,0.0,51.633133,0.0,129.41515,0.8240542,0.0,0.0,2.8926318,2.8926318,15.178668,15.178668,1.4232787,1.4232787,0.0,0.0,0.0,0.0,6.791419,6.791419,10.951774,10.951774,5.5040364,5.5040364,21.272581,21.272581,14.4744625,14.4744625,22.508602,22.508602,7.5625,7.5625,18.57285,18.57285,65.46035,65.46035,0.0,0.0,3.492805,3.492805,3.3340054,19.776344,19.776344,4.060052,4.060052,0.8834301,8.847312,8.847312,5.188038,5.188038,12.646452,12.646452,1.8676522,15.303748,0.520057,0.0,0.0,0.39123195,1.0743365,1.5125,1.5125,23.012768,53.165188,0.0,17.72684,3.2853148,0.13599822,0.03681345,0.047843624,0.7042012,43.76492,13.060662,2.4996245,3.0409465,0.7606251,0.10776213,1.2319142,0.0,5.934491,4.7500606,9.608077,1.4031428,22.577877,967,524,3424.8,2420
1922-01-31,0.0,0.0,3.5942204,3.5942204,0.0,5.1792803,5.1792803,0.0,0.0,2.618414,2.618414,2.771778,2.771778,0.0,3.5909677,3.5909677,0.27857912,0.6928949,0.0,0.0,0.0,7.797567,3.594458,0.0,1.8497355,0.0,0.0,42.115726,0.0,0.0,0.0,16.766563,0.0,25.805122,0.0,64.56575,16.476126,0.0,4.4619503,91.69789,277.75458,9.650767,1.3498656,1.3498656,0.0,210.09802,134.12622,123.337776,70.40396,0.45559922,2.2443547,2.2443547,0.0,0.0,3.3827958,3.3827958,0.0,0.0,12.299513,79.5669,2.1874328,2.1874328,0.0,44.216957,2.2635903,8.363759,0.26753706,11.514516,11.514516,5.5338507,52.616127,35.676136,11.073942,3.221771,2.0415075,15.435745,23.462147,87.22234,6.662375,6.662375,14.027218,14.027218,0.023193024,0.0,4.001758,9.481586,9.481586,20.611717,0.0,33.851597,0.0,48.438328,0.5502138,0.0,0.0,2.6921525,2.6921525,14.885927,14.885927,1.3172898,1.3172898,0.0,0.0,0.0,0.0,6.4932227,6.4932227,10.893011,10.893011,5.221052,5.221052,21.331131,21.331131,14.458199,14.458199,21.662903,21.662903,7.04207,7.04207,18.491531,18.491531,65.62298,65.62298,0.0,0.0,3.4537792,3.4537792,4.3098116,22.31344,22.31344,4.1065187,4.1065187,0.8834301,8.765994,8.765994,5.1067204,5.1067204,8.928629,8.928629,4.0250845,14.223778,0.36785206,0.0,0.0,0.2857731,0.75780743,1.2522849,1.2522849,20.622044,47.92836,0.0,13.576319,1.5049684,0.0,0.0,0.0,0.0,37.749073,12.128893,0.6246071,1.4062723,0.1900653,0.0,0.0,0.0,5.897674,4.7205915,9.54847,1.3638667,20.704144,967,524,3424.8,2420
