STATION #,REGION,Long Name,ORIGIN,X,Y,Short Name,Archive Index
13,Central Bay,San Francisco Bay near Coyote Point,ECO,561435.7,4161086.0,ECO8,
14,Central Bay,South Central San Francisco Bay,ECO,565890.6,4164982.0,ECO9,
15,Central Bay,San Francisco Bay at San Lorenzo,ECO,572889.2,4168419.0,ECO10,
16,Central Bay,Central San Francisco Bay,ECO,562701.6,4170024.0,ECO11,
17,Central Bay,South East of Bay View,ECO,556269.1,4172028.0,ECO12,
18,Central Bay,San Francisco Bay near Oakland Airport,ECO,565936.7,4174390.0,ECO13,
19,Central Bay,North Central San Francisco Bay,ECO,560590.6,4177121.0,ECO14,
20,Central Bay,North East of Bay View,ECO,556819.7,4179986.0,ECO15,
21,Central Bay,Alameda          ,DWR Revised,561692.7,4180641.2,REaamc1,77
22,Central Bay,San Francisco Bay at Pier 17     ,DWR,553143.4,4184169.8,sfp17,241
23,Central Bay,San Francisco         ,DWR,547094.8,4184503.1,sffpx,74
24,Central Bay,San Francisco Bay at Northeast Shore Alcatraz Island   ,DWR,550895.2,4186802.8,alk,185
25,Central Bay,South of Mount Caroline Livermore,ECO,552530.9,4188625.0,ECO16,
26,Central Bay,North East of Treasure Island,ECO,557239.0,4189258.0,ECO17,
27,Central Bay,West of Richmond Inner Harbor,ECO,554069.2,4193567.0,ECO18,
28,Central Bay,Tiburon Pier         ,DWR Revised,548873.4,4193835.1,REtibc1,72
29,Central Bay,Middle River above Barrier       ,DWR,634300.2,4194175.0,mab,182
30,Central Bay,Southampton Shoal Channel LB 6      ,DWR,550775.4,4196680.1,sham,71
31,Central Bay,Richmond          ,DWR,552736.0,4198019.3,richm,79
257,Central Delta,Lower Dutch Slough near Big Break,ECON,615922.3,4207788.0,54824,381
258,Central Delta,Lower Dutch Slough near Contra Costa Intake,ECON,616081.0,4206746.0,54755,378
259,Central Delta,Dutch Slough Intake,ECON,616087.2,4207104.6,54757,379
260,Central Delta,Dutch Sl below Jersey Island      ,DWR,616676.6,4208098.2,dsj,107
261,Central Delta,Taylor Slough         ,EJ SAFER Proxy,617340.4,4209698.7,JT17,323
262,Central Delta,Dutch Slough         ,EJ SAFER Proxy,617841.3,4208013.7,JT15,321
263,Central Delta,Little Frank's Tract at Piper Slough,EJ,618188.1,4211870.3,EJ50,
264,Central Delta,Taylor Slough and Dutch Slough Confluence       ,EJ SAFER Proxy,618563.8,4208603.9,JT16,322
265,Central Delta,Little Franks Tract at Fisherman's Cut,EJ,618643.3,4212933.4,EJ51,
266,Central Delta,San Joaquin River at Fisherman's Cut,EJ,619061.5,4216359.1,EJ52,
267,Central Delta,Farrar Park         ,DWR,619475.5,4208005.7,frp,13
268,Central Delta,Rock Slough at Contra Costa Canal     ,DWR,619885.2,4204031.0,rsl,34
269,Central Delta,Delta Coves Bethel Island,EJ,620079.0,4208472.1,EJ53,
270,Central Delta,Frank's Tract at False River,EJ,620266.2,4212209.0,EJ54,
271,Central Delta,Willow Park Marina at Sand Mound Slough      ,EJ SAFER Proxy,620449.0,4207500.1,JT18,324
272,Central Delta,Rock Slough Intake,ECON,620566.9,4204020.3,54122,372
273,Central Delta,Summer Lake at Sand Mound Slough       ,EJ SAFER Proxy,620857.0,4205640.2,JT19,325
274,Central Delta,Piper Slough at Bethal Tract      ,DWR,620980.0,4210523.0,bet,171
275,Central Delta,Rock Slough at Delta Road Bridge     ,DWR,621194.1,4204133.5,rsd,167
276,Central Delta,North West Franks Tract,ECO,621609.0,4212194.0,ECO34,
277,Central Delta,Bethel Island at Delta Coves        ,EJ SAFER Proxy,621892.6,4208420.2,JT20,326
278,Central Delta,Orowood at Old River         ,EJ SAFER Proxy,621944.3,4200024.3,JT22,328
279,Central Delta,Discovery Bay,EJ,622164.4,4196198.4,EJ55,
280,Central Delta,Werner Dredge Cut above Discovery Bay,EJ,622503.9,4197581.3,EJ56,
281,Central Delta,South Franks Tract at Bethel Island,EJ,622504.2,4209074.8,EJ57,
282,Central Delta,South Central Franks Tract,ECO,622841.1,4210411.0,ECO35,
283,Central Delta,Franks Tract         ,DWR,623008.4,4211892.7,frk,203
284,Central Delta,Italian Slough West of Clifton Court Forebay,ECON,623239.1,4188802.8,Y154,403
285,Central Delta,Frank's Tract North East,EJ,623372.4,4213091.7,EJ58,
286,Central Delta,Werner Dredger Cut near Palm Tract     ,DWR,623426.6,4202761.2,wdcut,169
288,Central Delta,Byron Area,ECON,623954.1,4189922.7,61882,396
